,name,company,year,Price,kms_driven,fuel_type
427,Tata Indica,Tata,2005,80000,42000,Petrol
428,Hyundai Santro Xing,Hyundai,2003,120000,50000,Petrol
429,Maruti Suzuki Zen,Maruti,2010,149000,35000,Petrol
430,Maruti Suzuki Wagon,Maruti,2014,250000,18500,Petrol
431,Maruti Suzuki Wagon,Maruti,2007,120000,7000,Petrol
432,Honda Brio VX,Honda,2017,450000,11000,Petrol
433,Maruti Suzuki Zen,Maruti,2003,99999,53000,Petrol
434,Maruti Suzuki Zen,Maruti,2008,135000,23000,Petrol
435,Maruti Suzuki Wagon,Maruti,2016,225000,35500,Diesel
436,Maruti Suzuki Alto,Maruti,2010,99000,22134,Petrol
437,Renault Kwid RXT,Renault,2019,370000,1000,Petrol
438,Tata Nano Lx,Tata,2010,52000,9000,Petrol
439,Hyundai Eon Magna,Hyundai,2014,190000,35000,Petrol
440,Honda City 1.5,Honda,2014,499000,22000,Petrol
441,Hindustan Motors Ambassador,Hindustan,2002,90000,25000,Diesel
442,Maruti Suzuki Ritz,Maruti,2010,149000,40000,Petrol
443,Hyundai Grand i10,Hyundai,2017,400000,20000,Petrol
444,Hyundai Eon D,Hyundai,2016,120000,87000,Petrol
445,Maruti Suzuki Swift,Maruti,2015,250000,55000,Petrol
446,Maruti Suzuki Wagon,Maruti,2017,375000,23000,Petrol
447,Honda Amaze 1.2,Honda,2014,381000,6000,Petrol
448,Maruti Suzuki Estilo,Maruti,2013,180000,65000,Petrol
449,Maruti Suzuki Vitara,Maruti,2016,580000,25000,Diesel
450,Maruti Suzuki Eeco,Maruti,2015,278000,39000,Petrol
451,Mahindra Scorpio Vlx,Mahindra,2013,690000,75000,Diesel
452,Maruti Suzuki Ertiga,Maruti,2012,480000,51000,Diesel
453,Mitsubishi Lancer 1.8,Mitsubishi,2006,85000,50000,Petrol
454,Maruti Suzuki Maruti,Maruti,2001,40000,75000,Petrol
455,Maruti Suzuki Alto,Maruti,2015,90000,55800,Petrol
456,Hyundai Grand i10,Hyundai,2015,340000,53000,Petrol
457,Hyundai Eon D,Hyundai,2018,260000,25000,Petrol
458,Ford Fiesta SXi,Ford,2009,250000,56400,Petrol
459,Maruti Suzuki Ritz,Maruti,2010,180000,72160,Diesel
460,Hyundai Verna Fluidic,Hyundai,2012,350000,10000,Diesel
461,Maruti Suzuki Wagon,Maruti,2006,90001,48000,Petrol
462,Maruti Suzuki Estilo,Maruti,2007,115000,36000,Petrol
463,Maruti Suzuki Wagon,Maruti,2003,130000,133000,Petrol
464,Maruti Suzuki Wagon,Maruti,2009,159000,27000,Petrol
465,Maruti Suzuki Wagon,Maruti,2009,160000,35000,Petrol
466,Maruti Suzuki Alto,Maruti,2010,110000,55000,Petrol
467,Maruti Suzuki Baleno,Maruti,2016,425000,40000,Petrol
468,Maruti Suzuki Swift,Maruti,2009,150000,45000,Petrol
469,Hyundai Getz Prime,Hyundai,2009,110000,20000,Petrol
470,Hyundai Santro,Hyundai,2000,51999,88000,Petrol
471,Hyundai Getz Prime,Hyundai,2009,115000,20000,Petrol
472,Chevrolet Beat PS,Chevrolet,2012,215000,65422,Diesel
473,Ford EcoSport Trend,Ford,2017,580000,10000,Petrol
474,Maruti Suzuki Dzire,Maruti,2013,380000,35000,Petrol
475,Hyundai Fluidic Verna,Hyundai,2013,350000,117000,Diesel
476,Tata Indica V2,Tata,2005,35000,150000,Diesel
477,Hyundai i20 Asta,Hyundai,2010,300000,10750,Petrol
478,Honda City 1.5,Honda,2009,269000,55000,Petrol
479,Tata Nano,Tata,2013,60000,6800,Petrol
480,Chevrolet Cruze LTZ,Chevrolet,2014,400000,41000,Diesel
481,Hyundai Verna Fluidic,Hyundai,2015,430000,73000,Diesel
482,Maruti Suzuki Swift,Maruti,2011,140000,65000,Diesel
483,Maruti Suzuki Alto,Maruti,2014,199000,37000,Petrol
484,Hyundai Accent GLE,Hyundai,2006,90000,55000,Petrol
485,Force Motors One,Force,2013,550000,140000,Diesel
486,Maruti Suzuki Alto,Maruti,2019,265000,9800,Petrol
487,Chevrolet Spark 1.0,Chevrolet,2011,100000,27000,Petrol
488,Hyundai i10,Hyundai,2009,215000,27000,Petrol
489,Toyota Etios Liva,Toyota,2012,380000,20000,Diesel
490,Renault Duster 85PS,Renault,2013,401919,57923,Diesel
491,Chevrolet Enjoy,Chevrolet,2014,490000,30201,Diesel
492,Maruti Suzuki Alto,Maruti,2017,280000,6200,Petrol
493,BMW 5 Series,BMW,2009,650000,37518,Petrol
494,Toyota Etios Liva,Toyota,2014,160000,24652,Petrol
495,Mahindra Jeep MM,Mahindra,2004,424000,383,Diesel
496,Chevrolet Beat LS,Chevrolet,2016,225000,95000,Diesel
497,Chevrolet Cruze LTZ,Chevrolet,2011,350000,35000,Diesel
498,Maruti Suzuki Ertiga,Maruti,2013,485000,52500,Diesel
499,Hyundai Verna VGT,Hyundai,2010,205000,47900,Diesel
500,Maruti Suzuki Omni,Maruti,2012,160000,14000,Petrol
501,Maruti Suzuki Celerio,Maruti,2018,310000,37000,Petrol
502,Tata Zest Quadrajet,Tata,2017,180000,90000,Diesel
503,Mahindra XUV500 W6,Mahindra,2013,549900,52800,Diesel
504,Tata Indigo CS,Tata,2016,150000,104000,Diesel
505,Hyundai i10 Era,Hyundai,2011,175000,30000,Petrol
506,Tata Indigo eCS,Tata,2014,95000,195000,Diesel
507,Tata Indigo LX,Tata,2016,230000,104000,Diesel
508,Tata Indigo eCS,Tata,2016,230000,104000,Diesel
509,Tata Indigo Marina,Tata,2004,180000,70000,Diesel
510,Hyundai Xcent SX,Hyundai,2015,400000,43000,Diesel
511,Hyundai Eon Magna,Hyundai,2013,185000,23000,Petrol
512,Renault Duster 85,Renault,2015,385000,51000,Diesel
513,Maruti Suzuki Alto,Maruti,2009,90000,62000,Petrol
514,Tata Nano LX,Tata,2010,32000,48008,Petrol
515,Renault Duster 110,Renault,2013,435000,39000,Diesel
516,Maruti Suzuki Wagon,Maruti,2010,225000,40000,Petrol
517,Maruti Suzuki Swift,Maruti,2006,189700,48247,Petrol
518,Maruti Suzuki Ertiga,Maruti,2012,389700,39000,Diesel
519,Maruti Suzuki Swift,Maruti,2014,365000,23000,Petrol
520,Maruti Suzuki Alto,Maruti,2017,360000,9400,Petrol
521,Hyundai i20 Magna,Hyundai,2010,210000,50000,Petrol
522,Hyundai i10 Magna,Hyundai,2009,170000,75000,Petrol
523,Tata Zest XE,Tata,2017,380000,70000,Diesel
524,Mahindra Xylo E8,Mahindra,2009,295000,64000,Diesel
525,Toyota Corolla Altis,Toyota,2010,185000,55000,Petrol
526,Tata Manza Aqua,Tata,2014,160000,200000,Diesel
527,Renault Kwid 1.0,Renault,2018,290000,2137,Petrol
528,Tata Venture EX,Tata,2013,100000,30000,Diesel
529,Maruti Suzuki Swift,Maruti,2014,315000,44000,Petrol
530,Skoda Octavia Classic,Skoda,2006,114990,65000,Diesel
531,Maruti Suzuki Omni,Maruti,2012,120000,160000,LPG
532,Chevrolet Beat Diesel,Chevrolet,2011,125000,56000,Diesel
533,Tata Sumo Gold,Tata,2012,210000,75000,Diesel
534,Tata Sumo Gold,Tata,2012,210000,75000,Diesel
535,Mahindra Scorpio 2.6,Mahindra,2007,260000,56000,Diesel
536,Maruti Suzuki Zen,Maruti,2002,95000,10544,Petrol
537,Maruti Suzuki Swift,Maruti,2011,255000,64000,Petrol
538,Mahindra Scorpio SLX,Mahindra,2008,300000,70000,Diesel
539,Hyundai Grand i10,Hyundai,2014,340000,25000,Petrol
540,Hyundai Elite i20,Hyundai,2017,550000,15000,Petrol
541,Ford Ikon 1.6,Ford,2003,60000,50000,Petrol
542,Toyota Innova 2.5,Toyota,2011,750000,147000,Diesel
543,Nissan Sunny XL,Nissan,2011,230000,52000,Petrol
544,Chevrolet Beat LT,Chevrolet,2012,130000,90001,Diesel
545,Maruti Suzuki Alto,Maruti,2017,270000,21000,Petrol
546,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
547,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
548,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
549,Toyota Innova 2.0,Toyota,2012,600000,80000,Diesel
550,Maruti Suzuki Swift,Maruti,2010,190000,74000,Diesel
551,Hyundai Elite i20,Hyundai,2015,500000,22000,Petrol
552,Volkswagen Polo Trendline,Volkswagen,2015,350000,25000,Diesel
553,Toyota Etios Liva,Toyota,2012,350000,85000,Diesel
554,Mahindra TUV300 T4,Mahindra,2016,540000,29500,Diesel
555,Hyundai Elite i20,Hyundai,2015,470000,30000,Petrol
556,Hyundai Santro Xing,Hyundai,2014,179000,57000,Petrol
557,Maruti Suzuki Zen,Maruti,2003,48000,60000,Petrol
558,Maruti Suzuki Ciaz,Maruti,2016,650000,50000,Petrol
559,Hyundai Eon Era,Hyundai,2013,190000,39700,Petrol
560,Hyundai Elantra 1.8,Hyundai,2012,500000,65000,Petrol
561,Maruti Suzuki Swift,Maruti,2010,270000,67000,Diesel
562,Maruti Suzuki Zen,Maruti,2008,125000,46000,Petrol
563,Hyundai Eon Era,Hyundai,2012,188000,38000,Petrol
564,Hyundai Grand i10,Hyundai,2016,380000,27000,Petrol
565,Hyundai Verna Fluidic,Hyundai,2011,365000,43000,Diesel
566,Ford EcoSport Trend,Ford,2014,465000,47000,Petrol
567,Hyundai i20 Magna,Hyundai,2011,240000,42000,Petrol
568,Chevrolet Beat Diesel,Chevrolet,2016,179999,19336,Diesel
569,Tata Indica eV2,Tata,2015,140000,60105,Diesel
570,Maruti Suzuki Swift,Maruti,2015,475000,22000,Petrol
571,Maruti Suzuki S,Maruti,2016,615000,21000,Diesel
572,Maruti Suzuki Ertiga,Maruti,2013,475000,48000,Diesel
573,Maruti Suzuki Alto,Maruti,2016,270000,38000,Petrol
574,Honda City SV,Honda,2014,475000,34000,Diesel
575,Volkswagen Vento Comfortline,Volkswagen,2011,240000,45933,Petrol
576,Honda City 1.5,Honda,2005,120000,68000,Petrol
577,Mahindra KUV100,Mahindra,2017,360000,35000,Diesel
578,Tata Zest XE,Tata,2018,450000,102563,Diesel
579,Maruti Suzuki Swift,Maruti,2017,650000,41800,Diesel
580,Tata Sumo Gold,Tata,2014,275000,116000,Diesel
581,Maruti Suzuki Swift,Maruti,2009,210000,59000,Petrol
582,Mahindra Scorpio 2.6,Mahindra,2004,175000,58000,Diesel
583,Maruti Suzuki Omni,Maruti,2009,85000,45000,Petrol
584,Volkswagen Jetta Comfortline,Volkswagen,2009,450000,54500,Diesel
585,Toyota Corolla Altis,Toyota,2014,790000,29000,Petrol
586,Chevrolet Beat LT,Chevrolet,2012,135000,36000,Petrol
587,Datsun Redi GO,Datsun,2018,299999,7000,Petrol
588,Mahindra Scorpio SLX,Mahindra,2004,175000,60000,Diesel
589,Volkswagen Vento Comfortline,Volkswagen,2011,200000,95000,Diesel
590,Tata Indigo CS,Tata,2017,270000,50000,Diesel
591,Ford Figo Petrol,Ford,2019,525000,0,Petrol
592,Honda City ZX,Honda,2006,180000,50000,Petrol
593,Maruti Suzuki Wagon,Maruti,2008,140000,68000,Petrol
594,Ford EcoSport Trend,Ford,2014,400000,16000,Petrol
595,Maruti Suzuki Swift,Maruti,2016,499000,51000,Diesel
596,Maruti Suzuki Omni,Maruti,2009,85000,56000,Petrol
597,Maruti Suzuki Zen,Maruti,2004,70000,100000,Petrol
598,Renault Duster RxL,Renault,2015,550000,36000,Petrol
599,Maruti Suzuki Swift,Maruti,2014,370000,11523,Petrol
600,Maruti Suzuki Baleno,Maruti,2018,690000,1000,Petrol
601,Honda WR V,Honda,2009,250000,60000,Petrol
602,Tata Indigo CS,Tata,2016,110000,85000,Diesel
603,Renault Duster 110,Renault,2013,490000,38600,Diesel
604,Mahindra Scorpio LX,Mahindra,2009,320000,95500,Diesel
605,Maruti Suzuki Zen,Maruti,2004,68000,56000,Petrol
606,Maruti Suzuki Wagon,Maruti,2014,130000,37458,Petrol
607,Hyundai Eon D,Hyundai,2018,280000,35000,Petrol
608,Maruti Suzuki Zen,Maruti,2009,125000,0,Petrol
609,Mahindra Scorpio SLX,Mahindra,2008,285000,80000,Diesel
610,Hyundai Santro AE,Hyundai,2011,165000,45000,Petrol
611,Maruti Suzuki Swift,Maruti,2009,250000,51000,Diesel
612,Mahindra Xylo D2,Mahindra,2011,390000,48000,Diesel
613,Hyundai Santro,Hyundai,2003,60000,51000,Petrol
614,Chevrolet Beat LT,Chevrolet,2015,215000,90000,Diesel
615,Maruti Suzuki Swift,Maruti,2015,475000,43000,Diesel
616,Maruti Suzuki Alto,Maruti,2013,240000,20000,Petrol
617,Hyundai Getz GLE,Hyundai,2007,99000,55000,Petrol
618,Maruti Suzuki Swift,Maruti,2014,260000,120000,Diesel
619,Hyundai Santro Xing,Hyundai,2007,115000,46000,Petrol
620,Hyundai Santro Xing,Hyundai,2009,88000,43200,Petrol
621,Mahindra Xylo D2,Mahindra,2011,390000,56000,Diesel
622,Hyundai Santro Xing,Hyundai,2007,135000,42000,Petrol
623,Tata Indica V2,Tata,2009,90000,30600,Diesel
624,Hyundai i10 Sportz,Hyundai,2011,220000,38000,Petrol
625,Hyundai Grand i10,Hyundai,2017,424999,2550,Petrol
626,Hyundai Santro Xing,Hyundai,2007,135000,47000,Petrol
627,Honda City 1.5,Honda,2005,95000,41000,Petrol
628,Nissan Micra XL,Nissan,2017,430000,62500,Diesel
629,Honda City 1.5,Honda,2005,115000,68000,Petrol
630,Maruti Suzuki Alto,Maruti,2015,215000,50000,Petrol
631,Maruti Suzuki Wagon,Maruti,2004,53000,69000,Petrol
632,Maruti Suzuki Ertiga,Maruti,2012,500000,48000,Diesel
633,Tata Indica eV2,Tata,2012,85000,55000,Diesel
634,Maruti Suzuki Omni,Maruti,2013,165000,25000,Petrol
635,Hyundai Eon Era,Hyundai,2014,200000,28400,Petrol
636,Hyundai Eon,Hyundai,2014,200000,28000,Petrol
637,Maruti Suzuki Swift,Maruti,2015,425000,42000,Diesel
638,Hyundai Verna 1.6,Hyundai,2012,600000,29000,Diesel
639,Chevrolet Tavera LS,Chevrolet,2005,130000,68485,Diesel
640,Tata Tiago Revotron,Tata,2018,430000,3500,Petrol
641,Tata Tiago Revotorq,Tata,2019,568500,0,Petrol
642,Maruti Suzuki Zen,Maruti,2006,71000,32000,Petrol
643,Mahindra KUV100 K8,Mahindra,2018,560000,8000,Diesel
644,Ford EcoSport Titanium,Ford,2014,590000,34000,Diesel
645,Hindustan Motors Ambassador,Hindustan,1995,750000,37000,Petrol
646,Ford Fusion 1.4,Ford,2007,125000,85455,Diesel
647,Hyundai Santro Xing,Hyundai,2007,135000,46000,Petrol
648,Hyundai Santro,Hyundai,2002,60000,47000,Petrol
649,Fiat Linea Emotion,Fiat,2009,120000,64000,Petrol
650,Ford Ikon 1.3,Ford,2008,95000,46000,Petrol
651,Maruti Suzuki Omni,Maruti,2017,240000,8000,Petrol
652,Tata Indica V2,Tata,2012,115000,64000,Diesel
653,Mahindra Scorpio S4,Mahindra,2015,795000,63000,Diesel
654,Hyundai Santro Xing,Hyundai,2007,55000,65000,Petrol
655,Mahindra Xylo D2,Mahindra,2009,300000,62000,Diesel
656,Hyundai Grand i10,Hyundai,2014,320000,41000,Petrol
657,Maruti Suzuki Alto,Maruti,2015,265000,14000,Petrol
658,Toyota Corolla,Toyota,2006,160000,40000,Petrol
659,Hyundai Eon Magna,Hyundai,2017,300000,1600,Petrol
660,Tata Sumo Grande,Tata,2010,130000,90000,Diesel
661,Maruti Suzuki Swift,Maruti,2011,250000,58000,Diesel
662,Volkswagen Polo Highline1.2L,Volkswagen,2013,380000,27000,Petrol
663,Maruti Suzuki Alto,Maruti,2003,42000,60000,Petrol
664,Tata Tiago Revotron,Tata,2017,400000,31000,Petrol
665,Maruti Suzuki Swift,Maruti,2009,120000,90000,Diesel
666,Maruti Suzuki Swift,Maruti,2009,120000,90000,Diesel
667,Tata Indigo eCS,Tata,2016,130000,150000,Diesel
668,Chevrolet Beat LS,Chevrolet,2014,189000,31000,Diesel
669,Mahindra Xylo E8,Mahindra,2011,365000,43000,Diesel
670,Hyundai Eon D,Hyundai,2013,170000,20000,Petrol
671,Tata Sumo Gold,Tata,2013,215000,100000,Petrol
672,Tata Nano,Tata,2013,60000,7000,Petrol
673,Hyundai Elite i20,Hyundai,2017,599999,31000,Petrol
674,Hyundai i10 Magna,Hyundai,2009,400000,33000,Petrol
675,Volkswagen Polo,Volkswagen,2013,299999,48000,Diesel
676,Maruti Suzuki Dzire,Maruti,2014,374999,33000,Petrol
677,Tata Bolt XM,Tata,2015,600000,15000,Petrol
678,Maruti Suzuki Alto,Maruti,2005,70000,47000,Petrol
679,Maruti Suzuki Alto,Maruti,2005,100000,40000,Petrol
680,Maruti Suzuki Ritz,Maruti,2010,150000,38000,Diesel
681,Maruti Suzuki Alto,Maruti,2017,225000,12500,Petrol
682,Maruti Suzuki Dzire,Maruti,2009,210000,42000,Petrol
683,Hyundai i20 Asta,Hyundai,2014,425000,31000,Petrol
684,Maruti Suzuki Swift,Maruti,2008,162000,60000,Diesel
685,Tata Indica V2,Tata,2005,60000,80000,Diesel
686,Mahindra Scorpio VLX,Mahindra,2014,650000,77000,Diesel
687,Toyota Innova 2.5,Toyota,2012,750000,75000,Diesel
688,Mahindra Xylo E8,Mahindra,2010,375000,40000,Diesel
689,Hyundai i20 Magna,Hyundai,2011,230000,47000,Petrol
690,Maruti Suzuki Omni,Maruti,2000,35999,60000,Petrol
691,Mahindra KUV100,Mahindra,2016,380000,26500,Petrol
692,Mahindra KUV100 K8,Mahindra,2019,560000,2875,Petrol
693,Datsun Go Plus,Datsun,2016,285000,13900,Petrol
694,Tata Indica V2,Tata,2005,39999,80000,Diesel
695,Hyundai Santro Xing,Hyundai,2006,85000,60000,Petrol
696,Maruti Suzuki Wagon,Maruti,2016,395000,20000,Petrol
697,Maruti Suzuki Swift,Maruti,2008,175000,58000,Diesel
698,Maruti Suzuki Alto,Maruti,2019,400000,1500,Petrol
699,Toyota Innova 2.5,Toyota,2011,750000,75000,Diesel
700,Maruti Suzuki Alto,Maruti,2016,250000,2450,Petrol
701,Maruti Suzuki Alto,Maruti,2019,425000,1625,Petrol
702,Volkswagen Polo Highline1.2L,Volkswagen,2017,525000,45000,Petrol
703,Mahindra Logan,Mahindra,2009,130000,65000,Diesel
704,Maruti Suzuki 800,Maruti,2000,30000,33400,Petrol
705,Mahindra Scorpio,Mahindra,2011,475000,60123,Diesel
706,Chevrolet Sail 1.2,Chevrolet,2013,300000,28000,Petrol
707,Hyundai Santro AE,Hyundai,2003,60000,70000,Petrol
708,Maruti Suzuki Wagon,Maruti,2006,100000,7000,Petrol
709,Hyundai Eon,Hyundai,2018,260000,25000,Petrol
710,Tata Manza,Tata,2015,100000,100000,Diesel
711,Toyota Etios G,Toyota,2013,265000,42000,Petrol
712,Hyundai Getz Prime,Hyundai,2009,115000,20000,Petrol
713,Toyota Qualis,Toyota,2003,180000,100000,Diesel
714,Hyundai Santro Xing,Hyundai,2004,45000,137495,Petrol
715,Tata Indica eV2,Tata,2016,50500,91200,Diesel
716,Honda City 1.5,Honda,2009,270000,55000,Petrol
717,Tata Zest XE,Tata,2017,290000,120000,Diesel
718,Mahindra Quanto C4,Mahindra,2013,325000,63000,Diesel
719,Tata Indigo eCS,Tata,2016,160000,104000,Diesel
720,Maruti Suzuki Swift,Maruti,2016,350000,146000,Diesel
721,Hyundai Elite i20,Hyundai,2011,290000,40000,Petrol
722,Hyundai i20 Select,Hyundai,2011,290000,40000,Petrol
723,Chevrolet Tavera Neo,Chevrolet,2007,465000,100800,Diesel
724,Maruti Suzuki Dzire,Maruti,2016,325000,150000,Diesel
725,Hyundai Elite i20,Hyundai,2018,510000,2100,Petrol
726,Maruti Suzuki Dzire,Maruti,2016,450000,2500,Diesel
727,Hyundai Getz,Hyundai,2006,125000,80000,Petrol
728,Mercedes Benz C,Mercedes,2006,500001,15000,Petrol
729,Maruti Suzuki Alto,Maruti,2005,95000,65000,Petrol
730,Maruti Suzuki Swift,Maruti,2009,250000,51000,Diesel
731,Skoda Fabia,Skoda,2009,110000,45000,Petrol
732,Maruti Suzuki Ritz,Maruti,2011,270000,50000,Petrol
733,Tata Indica V2,Tata,2009,110000,30000,Diesel
734,Toyota Corolla Altis,Toyota,2009,300000,132000,Petrol
735,Tata Zest XM,Tata,2018,260000,27000,Diesel
736,Mahindra Quanto C8,Mahindra,2013,390000,40000,Diesel
